afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
5.5722885,830,true,true,290,24.141708,5.5722885,830,5,false,66,2019-11-16 00:23:37.063000+00:00,0,0,0,0,0,0,2019-11-16 00:04:56.063000+00:00,2019-11-16 00:18:47+00:00,290,0,0,0,b91165EE,null,7c3b,169eb5e1
43.9431,2423,true,true,9665,65.28896,43.9431,2423,0,false,98,2019-11-18 13:29:20.063000+00:00,0,0,0,0,0,0,2019-11-15 23:38:31.063000+00:00,2019-11-16 00:18:54.063000+00:00,7826,0,0,8960,b17E3B697,1022459.1000000015,abcb,69bbe3177
1.8617328,185,true,true,0,36.228313,1.8617328,185,0,false,52,2019-11-16 00:19:43.187000+00:00,0,0,0,0,0,0,2019-11-16 00:16:38.127000+00:00,2019-11-16 00:19:43.127000+00:00,0,0,0,0,b945E38A,null,0eb,39e48ab5
4.365543,456,true,true,163,34.464813,4.365543,456,30,false,63,2019-11-16 00:22:44.063000+00:00,0,0,0,0,0,0,2019-11-16 00:12:25+00:00,2019-11-16 00:20:01+00:00,163,0,0,0,b91C515A,null,3bdd,51bc51a9
8.335617,684,true,true,1547,43.867565,8.335617,684,0,false,68,2019-11-16 00:46:15.063000+00:00,0,0,0,0,0,0,2019-11-16 00:09:03.063000+00:00,2019-11-16 00:20:27.127000+00:00,1547,0,0,0,b9201524,null,34b4,42092b51
7.169698,577,true,true,9565,44.660427,7.169698,577,1093,false,79,2019-11-18 13:27:32+00:00,0,0,0,0,0,0,2019-11-16 00:10:57.063000+00:00,2019-11-16 00:20:35+00:00,7617,0,0,8852,b9046EBC,null,61cb,b64bce90
0.17882021,56,true,true,0,11.318531,0.17882021,56,0,false,41,2019-11-16 00:20:40.127000+00:00,0,0,0,0,0,0,2019-11-16 00:19:43.187000+00:00,2019-11-16 00:20:40.063000+00:00,0,0,0,0,b945E38B,null,eb0,e95b843b
17.597185,1409,true,true,635,44.930992,17.597185,1409,6,false,107,2019-11-16 00:31:35.063000+00:00,0,0,0,0,0,0,2019-11-15 23:57:30.063000+00:00,2019-11-16 00:21:00+00:00,635,0,0,0,b902D085,null,be2d,580b0d92
0.67860913,180,true,true,252,13.501898,0.67860913,180,0,false,42,2019-11-16 00:25:13.187000+00:00,0,0,0,0,0,0,2019-11-16 00:18:00.063000+00:00,2019-11-16 00:21:01+00:00,252,0,0,0,b919DAEB,null,1bb94,9bbd1a9e
109.48685,4873,true,false,1040,80.39493,110.96733,4969,0,false,116,2019-11-16 00:38:33.063000+00:00,0,0,0,0,0,0,2019-11-15 22:58:24.063000+00:00,2019-11-16 00:21:13.063000+00:00,1040,1.4804815,95,0,b91C0541,null,b62b,1c90b514
